item;real_word;correct_key;test_variable
"<div style=""color:red;"">word</div>";yes;d;1
"<div style=""color:blue;"">word</div>";yes;d;1
"<div style=""color:green;"">word</div>";yes;d;1
"<div style=""color:yellow;"">word</div>";yes;d;1
"<div style=""color:pink;"">word</div>";yes;d;1
"<div style=""color:brown;"">word</div>";yes;d;1
"<div style=""color:purple;"">word</div>";yes;d;1
"<div style=""color:white;"">word</div>";yes;d;1
"<div style=""color:orange;"">word</div>";yes;d;1
"<div style=""color:violet;"">word</div>";yes;d;1
"<div style=""color:lime;"">word</div>";no;h;1
cheesx;no;h;1
shxxp;no;h;1
banxna;no;h;1
chxir;no;h;1
pxa;no;h;1
hexrt;no;h;1
pumpkxn;no;h;1
cxcumber;no;h;1
hxppo;no;h;1